1,"December 26, 2016",Stopped If I try to put someone's picture it says this app has unfortunately stopped
5,"April 1, 2016", Works perfectly and having presets is awesome! Best fake call app I've tried!
5,"April 1, 2016", Works just as described. Better than others I've used.
5,"January 7, 2017",653m0    #7;$8🔫🚪💲💰 7तफ़ि इबुहफयकव
1,"September 25, 2016", Michael Roman
1,"December 21, 2016", Totally disguisting
5,"October 24, 2016",Rossemari I like did so much Rossemari
1,"May 26, 2017", I hate you all
5,"March 17, 2017", I like
5,"November 20, 2016",Amazing Keep pranking my friends lol
5,"May 30, 2017", I like  that
4,"May 26, 2018", I love aaps like these
1,"May 14, 2017", Not good
5,"March 21, 2017", Its awsome
5,"March 30, 2017", I love that
1,"March 5, 2017", None
5,"May 16, 2017", Love this app
5,"May 23, 2017", Nice prank
5,"December 24, 2016", Awesome app
5,"June 30, 2018", Good game
5,"February 23, 2018", Cool
