1,"June 26, 2018"," I have purchased credits and charged 759/- but now no credit is shown. Can 
you please revert back my money. In my view plz do not waste your time and 
hardened money."
1,"March 26, 2018", Waste of time.. This is fake app.. Dont waste your time..
1,"April 17, 2018"," The app is very bad whenever iam taking this app a black background is 
showing . I waited for 2 minutes no improvement. Very bad hated it I just 
wasted 6 minutes of my life by downloading this"
1,"July 4, 2018"," Wat the hel automatically amount as deducted in my account but credits u 
have not given"
1,"May 2, 2018"," Ye bakwaas app hai. Bhai log aap log apna time iss app me waste mat karna 
ye faltu or bakwaas app hai"
1,"February 15, 2018", I call someone through this up aftr that i cant call him directly frm my phone how can i fix this problm
1,"May 15, 2018", Waste of time . It's a very bad game . I hate it.
5,"March 15, 2018", Fake app west of money we cant make calls they are looting 660 rs
2,"June 5, 2018"," app used to always work great now it seems the country code is wrong or 
something as it still works for landlines just not mobile numbers. can you 
fix?"
1,"March 25, 2018", I email many times no reply refund me it's doesn't work
1,"May 23, 2018"," Fraud app, I purchased credit but its not working. Doesnt worth"
1,"February 13, 2018", Very bAd take much time to connect call no balance
1,"May 24, 2018", Not call success online money waste
1,"April 2, 2018", Ask for money before using bad idea
1,"June 11, 2018"," I charge my account with 44 credit and i didn't find it in the program i 
lost my mony I need someoneon help me here"
5,"May 11, 2018"," What's is 401/unauthorised? ?? How to solve error while registering, 
unauthorised problem"
1,"April 5, 2018", New version is not working.. please fix problem
1,"July 18, 2018", it's very bad app don't west your time
1,"January 15, 2018", Its worst app guys don't waste ur time with this app
1,"May 15, 2018"," Sale app ko dekh to lo abbe check karne ke lyi kuchh to de dete ek bhi 
credit nhi"
1,"January 28, 2018", It says 401/ unauthorized fake app
1,"May 29, 2018", Doesn't work. 401 error
1,"January 18, 2018", Such a bad app .This app is waste of time
1,"May 25, 2018", Backwash aap hai koi install mat karna sirf time lose karta hai
1,"May 18, 2018"," Is aap se bura or bekar koi ap ni ho sakta galti se bhi ise install na kare 
too koi bhi 😠😠😠"
1,"December 28, 2017"," Error while registering, unauthorized."
1,"April 10, 2018", Wast of time  . Plz refund my money. Gays don't trust . App & developer both are cheater don't bays any cradits
1,"March 14, 2018", Idiot fool  .  Time wasted ....has sat
1,"February 14, 2018", Worst App..Just waste of time
1,"January 20, 2018", Bad app not so good
5,"December 27, 2017", I do not understand this application
1,"March 29, 2018", Worst aap  Working at first time
1,"June 1, 2018", Fake app don't download it.
1,"January 11, 2018", Montly auto metic account mines in your bank account rs 655 plz don't download the app
1,"February 11, 2018", GHATIYA APP Ish app se jyada ghatiy app na bana tha na bana hai na hi koi hoga
1,"February 5, 2018", Bakwas app hai koi download karke apna time barbad mat karna
4,"May 24, 2018", Best app but unlimited talk time
5,"June 28, 2018", Udaybhandheeru chalu karna Ye aapka Love Aaj Kal call Ladki Ki Awaz jaati Ho
1,"January 3, 2018", I couldn't make a call..It is also not giving free credits for testing
1,"January 23, 2018", Bad app waste of time
1,"March 30, 2018", It is a Fake app in the world
1,"June 11, 2018", Waste and worst app ever
1,"April 22, 2018", Its works only 1 time not again
3,"January 7, 2018", The caller id does not show the no. I feed in
2,"April 13, 2018", Be careful your details not submitt
1,"February 25, 2018", Bakkwasss...waste of time..
4,"January 5, 2018", First of all this app will work bt...After it will not work
1,"July 1, 2018", It just show un authorized 😶
1,"April 1, 2018", Don't install this app
1,"March 9, 2018", sabse bekar app hai
5,"April 11, 2018", Superrrrr see bhi uparrrr
5,"May 29, 2018", 1st time it works for me
5,"July 3, 2018", Don't get free trial
1,"January 18, 2018", இதுல கால் பண்ண முடியல...
3,"May 12, 2018", It is not working!!!!
1,"January 27, 2018", It's not working why
4,"March 23, 2018", Very good app. Have to provide some more free credits.
5,"July 15, 2018", it's really true app
5,"February 17, 2018", How upgrade free chips ???
1,"January 7, 2018", Bakwas app..... Guys dont waste your time... Puro faltu.. Baler app
5,"January 23, 2018", HF  .dv Moon
1,"April 29, 2018", No t working
1,"June 12, 2018", app not working
1,"June 27, 2018", No credits received
5,"July 11, 2018", Nice to use but few seconds to free otherwise pay and use
5,"March 17, 2018", Very Excellent app
5,"March 23, 2018", Its a good app
1,"January 12, 2018", Eduthondu poda cope Ninte copile   oru app........
1,"January 21, 2018", Ban this app
1,"January 24, 2018", Bekar hai
5,"January 30, 2018", Moin khan
1,"March 25, 2018", Fal2 app
1,"April 4, 2018", घटिया app
5,"January 16, 2018", No. 1 App
1,"March 29, 2018", Waste of time
1,"June 13, 2018", it's takes time to register.....
1,"February 6, 2018", Ass hole app ....👿👿👿
1,"May 22, 2018", unauthorized warning.....
1,"February 26, 2018", Wast  of time
5,"April 6, 2018", So funny
5,"April 4, 2018", I like it
5,"July 17, 2018", The best aap i saw ever
5,"January 20, 2018", Mr Farid
1,"February 17, 2018", Worst app
1,"April 13, 2018", Fake app
5,"April 22, 2018", Time west
2,"May 27, 2018", Wakwash hai
1,"June 3, 2018", worst app
1,"June 16, 2018", Wast of time
5,"June 19, 2018", Ncy app
5,"June 30, 2018", Monajir hasan
5,"July 10, 2018", I like it
5,"July 12, 2018", so funny
2,"July 12, 2018", No credits
5,"March 6, 2018", Ok good
5,"June 22, 2018", This is very good app this app is very us
1,"January 16, 2018", Totally fraud
1,"May 15, 2018", Worst app
1,"January 30, 2018", Fake app
5,"February 8, 2018", Need more free credits
1,"June 5, 2018", Dont download it its fake
5,"January 24, 2018", Superb aap
5,"February 23, 2018", Supported boys
5,"February 19, 2018", Leela
1,"March 26, 2018", Nonsens
5,"February 12, 2018", Bi
1,"April 1, 2018", Unauthorized
5,"January 21, 2018", Very useful app
5,"April 19, 2018", Nice good work
5,"July 4, 2018", I think about this good
5,"July 3, 2018", I love you
1,"February 26, 2018", Waste
4,"January 13, 2018", Thanks
5,"April 25, 2018", Thanks
5,"May 1, 2018", Hi
5,"May 10, 2018", Thnx
3,"May 23, 2018", Tmbo
1,"May 23, 2018", Bakvas
5,"July 5, 2018", Nyc
5,"July 4, 2018", Thanx
5,"July 4, 2018", Osm
5,"July 4, 2018", Super
1,"July 4, 2018", Bakwas
5,"July 4, 2018", क्लब
5,"July 5, 2018", Yw
1,"July 3, 2018", Wasete
4,"July 10, 2018", Super
5,"July 10, 2018", Ddh
5,"July 11, 2018", Super
1,"March 16, 2018", Waste
1,"March 24, 2018", Useless
5,"April 1, 2018", nice app
5,"January 31, 2018", Nice app
5,"February 16, 2018", Good ha
5,"April 18, 2018", I love it
5,"June 4, 2018", Best app
5,"July 4, 2018", Nice app
5,"July 10, 2018", This is good
5,"July 11, 2018", good app
5,"July 11, 2018", Great work
5,"July 12, 2018", Nice application
5,"July 12, 2018", Very good
5,"July 11, 2018", Nice app
5,"March 25, 2018", Good
1,"July 11, 2018", Bad
5,"February 3, 2018", Nice
5,"April 9, 2018", good
4,"April 2, 2018", Good
5,"May 17, 2018", Good
3,"June 28, 2018", Nice
5,"July 4, 2018", Good
5,"July 4, 2018", Good
5,"July 4, 2018", Awesome
5,"July 5, 2018", Nice
5,"July 5, 2018", Good
5,"July 4, 2018", Good
5,"July 5, 2018", Awesome
5,"July 4, 2018", Nice
5,"July 3, 2018", Nice
5,"July 4, 2018", Nice
5,"July 5, 2018", Nice
5,"July 4, 2018", Good
5,"July 10, 2018", Good
5,"July 10, 2018", Good
5,"July 10, 2018", good
5,"July 10, 2018", Superb
5,"July 11, 2018", Nice
5,"July 11, 2018", nice
5,"July 12, 2018", Top
5,"July 11, 2018", Good
1,"December 25, 2017", Fake app.. completely fake... i tried to make a call but it didn't occur
1,"December 8, 2017"," Am getting ""error while registering - unauthorized"". Please help"
1,"December 10, 2017", very bad item... its older version was too good
3,"December 20, 2017", Purchased credits twice today but not reflecting
1,"December 9, 2017", The app is not able to make calls
1,"December 19, 2017", App name fake call and its name is fake app
5,"December 9, 2017", Good app for fun but not free and high charged
4,"December 30, 2017", കുഴപ്പമില്ല.. പക്ഷേ ഇത് ക്രൈം ആണെന്ന്  ഓർക്കുക
1,"December 18, 2017", Fake app as the name suggests
1,"December 12, 2017", This update version is not working. Real number not displayed of outgoing call. Please need to check it.
1,"December 17, 2017", I hate this app
1,"December 15, 2017", Not working this app
2,"December 8, 2017",Not so good Not so good
1,"December 11, 2017", Not work
5,"December 25, 2017", Fake call best
5,"December 9, 2017", Amazing  how  can  I am Tell  good
5,"January 25, 2018", Gud app
5,"December 10, 2017", Gooi
5,"December 15, 2017", Super
5,"December 13, 2017", Hi
4,"December 16, 2017", Good
5,"November 24, 2017", Includes more features for free credit like as  1 _daily checking 2_watching videos ... Than it's more useful 3_ etc
1,"November 23, 2017",Voices You got your rules and your religion all disigned to keep you safe but when rules start getting broken you start question in your fate
1,"July 1, 2018"," I have purchesd cerdit once lobg tine before but thy hv deductd money from 
my account 3 times without giving any credit"
1,"November 26, 2017", Why it says error while registering - unauthorized and error 401 unauthorized
3,"December 1, 2017"," Really Good App, But Not Free Calling App."
1,"December 4, 2017", Very bad it asking money 💰
1,"November 26, 2017", It is really fake callr
1,"November 30, 2017", Not working wast of time this app
5,"December 4, 2017", Very nice app
