4,"July 18, 2018"," The reasons I like this application is for the private messaging and the 
fact that when I block someone from text I don't see there message in 
another area. My old messanger would put text in a blocked text area and 
the curiosity in me would have a tendency to look when I really didn't want 
to s...Full ReviewThe reasons I like this application is for the private messaging and the 
fact that when I block someone from text I don't see there message in 
another area. My old messanger would put text in a blocked text area and 
the curiosity in me would have a tendency to look when I really didn't want 
to see any of the texts I block. Out of sight out of mind with this 
application."
1,"July 4, 2018"," Your app does not give sound notifications. The only way I know I recived a 
msg is looking at my phone even when choosing a sound from the setting 
menu...#unistalled"
5,"June 22, 2018"," Great app!! It simple and easy to navigate. All messages are now be visible 
in one single place."
5,"July 24, 2018"," Thank You , PRIVACY FINALLY !!! YOU GUYS ARE GREAT !!"
5,"July 11, 2018"," I found no problems with it and I feel a little bit better that I know all 
of my stuff is being encrypted. Both ways"
1,"July 3, 2018"," I forget the pin to private chat and text. How do I reset the pin. This is 
urgent so please reply immediately. Thanks"
3,"July 20, 2018"," Notifications don't play for all contacts. App needs a lot of work. To many 
adds"
2,"July 9, 2018", It wont allow pictures to come through. mms part doesnt work well
5,"June 23, 2018"," Better than Go SMS Pro!! Private folder has notif too, unlike Go SMS Pro"
4,"July 14, 2018", Ok gud
5,"July 1, 2018", Loveit.
5,"July 9, 2018", It's diffrent and keeps ur messages private I love it
2,"June 23, 2018", Nah I don't think so I did not care for this one
5,"July 25, 2018", 👍👍
5,"July 23, 2018", ITS REALLY AWESOME
3,"June 30, 2018"," Looks good, but we'll see!"
5,"July 25, 2018", Remove the ads and it will be perfect!
5,"July 12, 2018", Works great
5,"July 5, 2018", Great
5,"July 7, 2018", simply LOVE IT
5,"June 30, 2018", Easy to use...love it
5,"July 11, 2018", Fantastic aap love ittttt😙😙😙😙😙
4,"July 22, 2018", 😉
5,"July 4, 2018", Yes honey
3,"July 3, 2018", Cool
5,"July 1, 2018", Love it
5,"July 10, 2018", Best👌👌👌
4,"June 18, 2018"," Think it's great!!! Now privacy messenger can you tell me or help me 
forward this photo to a lady friend that has an out of date old phone this 
picture is on my profile app THANK YOU the contact name is LizTroy I cannot 
figure it out and her and I are working on getting to know each other do 
you...Full ReviewThink it's great!!! Now privacy messenger can you tell me or help me 
forward this photo to a lady friend that has an out of date old phone this 
picture is on my profile app THANK YOU the contact name is LizTroy I cannot 
figure it out and her and I are working on getting to know each other do 
you need me to give you her number as I know this is a private and secure 
site can you help"
5,"June 18, 2018", Very NYC coz no one can see anything from ur phone
5,"June 13, 2018", Sounds great especially if no one can see my messages
4,"June 20, 2018", I just started to install it!
4,"June 13, 2018", Just be friends
5,"June 13, 2018", Love it
1,"June 4, 2018"," Downloaded for the 'unable to screenshot' feature- sent a message to my 
friend sitting next to me, didn't work. She was able to take screenshot of 
my message. Ads if course are present. If the app worked as described, I 
would have def gone premium."
5,"June 7, 2018"," Amazing, except... I decided to change messengers but never found a good 
one so I went back to this but my recent chats were gone! I was 
dissapointed and I wonder... Is there anyway to receive old chats that 
you've lost when you redownload this app?"
4,"June 8, 2018"," This is good but,why dont you to add hide option for private contact msg on 
notification bar and also add custamised notification option."
4,"May 31, 2018"," Would be alot nicer if you could change background and customize message 
screen like Go SMS pro."
5,"June 10, 2018"," Well very good app according to me .. it almost has all i needed and had a 
great user i terface .. has a good speed too"
3,"June 2, 2018", Contact folder very difficult to select Plz make easy
3,"June 5, 2018", Notification does not work on KitKat 4.4. be nice if it worked.
2,"June 6, 2018", Just awsm app
5,"June 8, 2018", Enjoy being able to hide conversation
4,"June 9, 2018", Good and simple way to relevant communications
5,"June 5, 2018", It's ok.
5,"June 4, 2018", I'm satisfy with everything
5,"July 10, 2018", Y A
5,"July 23, 2018", Feedback
5,"June 12, 2018", Awesome
5,"June 19, 2018", Good
3,"May 28, 2018"," Hey your app a little bit confusing i hide my private box now where get 
back my private box mean how restore back"
5,"June 1, 2018", Would like to know how to hackers off my phone and out of my life!!!
1,"May 19, 2018", Too many ads. Unistalled in nearly 5 minutes after installing. Not worth it.
5,"May 24, 2018", A bit confused about it but I have to play with it until I understand it.
5,"May 25, 2018", plzzzzz remove ads many adds
5,"May 24, 2018", I hope I like this app too.
5,"May 23, 2018", This app is a1
5,"May 23, 2018", I honestly feel this is one of the best apps around
5,"June 3, 2018", Need privacy
5,"May 28, 2018", Thank you very much like it..
5,"May 26, 2018", Like
5,"May 29, 2018", It's great
5,"May 25, 2018", Love this app
5,"May 31, 2018", Great features
4,"May 16, 2018"," How do you know you've been hacked I ain't got a thing last night I don't 
know where I got it it on the phone but they told me Michael and hacked me 
can you help me out"
5,"May 15, 2018"," Love this app, wouldn't use anything else"
5,"May 15, 2018", Not much
5,"May 15, 2018", I needed this great
5,"May 16, 2018", Like
5,"July 15, 2018", I like it
5,"May 12, 2018", Good job....keep up the good work!!!
5,"May 10, 2018", Cool
4,"April 9, 2018"," I would give you 5 stars,but today, I pl aced someone on the Blocklist,  yet this evening, I get s notification of a msg. from this person. Does your Blocking not work, because it didn't work here!"
2,"May 5, 2018"," I don't.like how facebook house of fun. games are ripping off .there 
players thats how being rich doesn't matter how you get.there one thing you 
can't get over on is GOD...."
3,"May 7, 2018"," Cant search inside the conversation, or not in contacts, sometimes I get 
notification eventhough its muted, some messages dont get marked as read 
even I read it."
1,"April 12, 2018", Dont want it as my default message app. Those things always mess up your phone one way or another.
5,"April 22, 2018"," Help&selfVoyeasuoprtbyany worldyeazinfomuplodnow international by in would 
today recorded ezopay applied information file only self device support 
automatic az deeply hidden film & help&selfVoyeasuoprtbyany 
worldyeazinfomuplodnow in the would Network information file only by today 
uploading now ...Full ReviewHelp&selfVoyeasuoprtbyany worldyeazinfomuplodnow international by in would 
today recorded ezopay applied information file only self device support 
automatic az deeply hidden film & help&selfVoyeasuoprtbyany 
worldyeazinfomuplodnow in the would Network information file only by today 
uploading now & self privacy scequrty Bowse device support automatic 
adjusted now"
4,"April 8, 2018", I have one problem that why my messages are not being saved in my original messages app of my phone kindly response on it...
5,"May 6, 2018"," Idk about this app, really I am now just downloading it. I think it will 
help so no one read my privacy. 😇😇"
5,"April 1, 2018", Don't like the ads besides that its cool why not try to make colorful bubble styles need to take out the ads signs besides the ads its all cool
5,"May 4, 2018", So close yet so far away
4,"April 6, 2018", I would rate it higher but it needs more themes not just a few colors... But its a great app otherwise!!!!
5,"April 16, 2018", Haven't tried it yet but I expect it will be an do an awesome job
5,"May 3, 2018"," First time trying this app hopefully I will enjoy it, thanks 😉"
5,"June 1, 2018", I like it so much
5,"April 3, 2018", Thanks for your help  My
5,"April 2, 2018", I think it is the best thing ever
